name	mbid	artist_ref
Shopping	844f284e-6888-48f3-8b36-0258fd4a83e9	1557
Shots	3c8a8b3f-169b-420b-a23c-e850c2b01767	2344
Shout About It	11a64c96-a28b-4aa9-88b2-b26ab9372645	984
Shout at the Devil	566d7287-5cca-4df3-81ab-735072201093	645
Showdown	a4ce44cf-7d06-4439-bd5c-0b4ee8c875bb	1548
Shutter Speed	e079210c-b97a-4a73-974c-10b0d9081aff	1819
Signal and Sign	bd2f1cd0-761b-457b-b6d3-12447a2a97a4	1870
Silence Never Heard	4c96c0dc-5caf-4e57-898f-be2ee3f23408	852
Since 77	90510883-4027-4ee4-b95c-a9f6e7ccd139	501
Sing for the Moment	f2215158-fc73-4fa0-a287-1d589ac755f1	1503
Skinny Love	275967cc-eadc-4e53-9276-97b834a0ed06	1197
Slave	70160160-5024-46b8-a326-a786e1bcd356	2239
Sleepless feat. Jezzabell Doran	675cbcd1-038d-4614-a7b1-551b218a8006	1486
Slide	dfeb640e-65e9-40d7-8d24-c675c11630fe	610
Slowlife	b3391cb5-07eb-47ad-b970-3675d060a3c3	582
Smooth Criminal	a5411146-269c-40b3-8da2-b6b3aa4bbcd0	1141
Smother	4bd2b087-20dc-4135-b745-62963e4b7561	805
So Alive	079ebc97-3ad0-4083-a0fc-5c43427d1cc1	641
So What	560402ba-201e-4028-8506-abfed864be04	272
Soft Shock (acoustic)	82e80226-8f91-48b3-85e0-7ff8473942ec	2235
P.I.M.P.	fdde14be-983b-419f-bbd2-340eefbefe11	1026
Paint	2353aa80-b6b0-445b-ab53-439517c530f2	1314
Paint It Black	a6f39162-031e-47b8-8620-c7770dcd5f0b	1620
Piledriver Waltz	424769b5-b5ed-4e0d-be74-7c52c626bbad	1977
Più bella cosa	43232827-9182-4d5a-a83c-9fe40ae771b8	1625
Portland	4fd030cb-19f5-4518-8e66-8aba32fc6023	1393
Powerless (Say What You Want)	3942f6df-391b-4847-92c6-70563a2059a2	2182
Purple Noise	fd448a2d-25e6-43fa-8c30-218ef2696d08	1791
Radio Ga Ga	6da2cc31-9b12-4b66-9e26-074150f73406	2100
Rave On	f598dd39-5ccf-43d1-a362-721956539440	927
Ray Charles	bb01d2a7-1a81-4911-9156-4edb1681b41b	1996
Red Red Wine	2f264193-e1c9-46f0-9b5e-8849dc1f0e7a	719
Redemption	293b6a80-655e-4d01-9a86-81044b03ad8d	655
Rise	7ab9feee-feb0-432a-aaf9-0759058d61a4	1640
Rock And Roll All Nite	3752c9c0-3b20-4dcc-afd2-9cbc77f003e6	24
Sad Machine	7a17e048-0d62-4be1-a55f-59bf7f133753	2188
Safety Dance	12002c1e-cefe-4147-a6db-14df8f793e11	1725
Save Tonight	51c3412e-f1ab-4d59-a3e0-6007407b0a4c	1838
Schwinger	d7739a2f-18ae-45c6-b8c3-216e76236713	582
Scrapple from the Apple	2dffb6bf-c567-41bf-aedc-290f0dc5bd8b	2141
Scream Aim Fire	2ea42766-aac8-42e6-aba0-656098044b71	2139
Seven Nation Army	24cc8311-98fd-423a-bed1-97728f5eabc5	877
Shake It Off	95cac6d6-125d-42be-b735-17ae5db887df	1465
Shiny Happy People	c4b618c1-9507-4238-8e13-657286547b09	2101
Shock	bb64f6e3-917d-4853-848b-78063de2bd12	1630
Sleeping Satellite	9ba22f80-c5bc-452c-b09f-88f8b9e861c7	1294
Snap Backs & Tattoos	b9a4a1e0-b260-4163-a83b-8bf398fa1a31	1836
Sommerzeit	a3142865-adee-4221-a430-572ff1a943b4	672
Son of a Preacher Man	60aa59ea-1353-4063-ac86-b85820f2a8ab	959
Song for Zula	3f87bf33-b93b-4802-b3be-a576f1776d26	1246
Spuck den Schnuller aus	615f4d20-60a4-489a-a458-b82325237bad	2171
Stand By Me	372dbba3-56ce-4a0e-85e7-c903ce0277f9	1760
Starshine	bcfc9603-0de5-4fe8-b101-ce3b6482253f	1474
Stell dir vor	434eb13d-c703-4548-a7d9-48c65b60edec	1447
Sultans of Swing	7e72b6fc-30c8-4bcb-a221-a12a24ca3804	241
Summer Son	ca82c19f-ed18-47fe-aba9-0ac72a0fa4dc	1298
Summertime Sadness	0eee53f9-7959-4ce4-89bb-a0a473408089	1041
All Star	c2e14dec-db6c-401c-b253-082b67807e32	710
American Idiot	ce5f1c77-9ebe-4af6-8290-feaa06dfd269	1389
Bugatti	db66f734-b0f8-433d-a173-380591601cab	1416
Chelsea Dagger	44a45290-c175-4137-8290-d721fc0bbc8c	660
Chop Suey!	d758947d-d667-430b-900d-2abb110f63aa	1394
Der letzte Tag	3ce5c1b1-58eb-44c8-94d0-6f72e7897125	707
FIRST DATE	99bfd38c-6f6d-49a5-8b97-f42b8d5edf89	1593
Gangsta's Paradise	2f7a6735-2e09-4ce2-81e4-b148e6c39a55	676
